payment_id,amount_inr,failure_reason,payment_method,successful_payments,failed_payments,previous_attempts,hours_since_failure,customer_tenure_days,prior_recovery_rate,customer_value_inr,failure_hour,action,recovered
pay_00000,4534,insufficient_funds,netbanking,12,1,1,4.13,285,0.98,6193,16,retry,1
pay_00000,4534,insufficient_funds,netbanking,12,1,1,4.13,285,0.98,6193,16,payment_link,1
pay_00000,4534,insufficient_funds,netbanking,12,1,1,4.13,285,0.98,6193,16,reminder,1
pay_00000,4534,insufficient_funds,netbanking,12,1,1,4.13,285,0.98,6193,16,escalate,1
pay_00001,5047,checkout_abandoned,wallet,7,3,2,13.54,343,0.805,5607,18,retry,0
pay_00001,5047,checkout_abandoned,wallet,7,3,2,13.54,343,0.805,5607,18,payment_link,1
pay_00001,5047,checkout_abandoned,wallet,7,3,2,13.54,343,0.805,5607,18,reminder,0
pay_00001,5047,checkout_abandoned,wallet,7,3,2,13.54,343,0.805,5607,18,escalate,0
pay_00002,1014,checkout_abandoned,card,10,0,0,6.21,283,0.864,364,20,retry,1
pay_00002,1014,checkout_abandoned,card,10,0,0,6.21,283,0.864,364,20,payment_link,0
pay_00002,1014,checkout_abandoned,card,10,0,0,6.21,283,0.864,364,20,reminder,1
pay_00002,1014,checkout_abandoned,card,10,0,0,6.21,283,0.864,364,20,escalate,0
pay_00003,5956,insufficient_funds,netbanking,4,0,0,1.87,415,0.97,4738,6,retry,0
pay_00003,5956,insufficient_funds,netbanking,4,0,0,1.87,415,0.97,4738,6,payment_link,1
pay_00003,5956,insufficient_funds,netbanking,4,0,0,1.87,415,0.97,4738,6,reminder,1
pay_00003,5956,insufficient_funds,netbanking,4,0,0,1.87,415,0.97,4738,6,escalate,1
pay_00004,1499,technical_error,card,10,1,2,21.6,227,0.911,3500,2,retry,1
pay_00004,1499,technical_error,card,10,1,2,21.6,227,0.911,3500,2,payment_link,0
pay_00004,1499,technical_error,card,10,1,2,21.6,227,0.911,3500,2,reminder,1
pay_00004,1499,technical_error,card,10,1,2,21.6,227,0.911,3500,2,escalate,0
pay_00005,7117,bank_timeout,upi,8,1,0,2.86,408,0.605,8333,15,retry,1
pay_00005,7117,bank_timeout,upi,8,1,0,2.86,408,0.605,8333,15,payment_link,0
pay_00005,7117,bank_timeout,upi,8,1,0,2.86,408,0.605,8333,15,reminder,0
pay_00005,7117,bank_timeout,upi,8,1,0,2.86,408,0.605,8333,15,escalate,1
pay_00006,8661,technical_error,upi,9,0,1,7.5,184,0.88,11324,15,retry,1
pay_00006,8661,technical_error,upi,9,0,1,7.5,184,0.88,11324,15,payment_link,1
pay_00006,8661,technical_error,upi,9,0,1,7.5,184,0.88,11324,15,reminder,0
pay_00006,8661,technical_error,upi,9,0,1,7.5,184,0.88,11324,15,escalate,1
pay_00007,2377,insufficient_funds,wallet,13,0,2,5.72,250,0.898,2591,6,retry,0
pay_00007,2377,insufficient_funds,wallet,13,0,2,5.72,250,0.898,2591,6,payment_link,0
pay_00007,2377,insufficient_funds,wallet,13,0,2,5.72,250,0.898,2591,6,reminder,1
pay_00007,2377,insufficient_funds,wallet,13,0,2,5.72,250,0.898,2591,6,escalate,1
pay_00008,4663,bank_timeout,upi,10,2,0,12.83,660,0.764,5682,14,retry,1
pay_00008,4663,bank_timeout,upi,10,2,0,12.83,660,0.764,5682,14,payment_link,1
pay_00008,4663,bank_timeout,upi,10,2,0,12.83,660,0.764,5682,14,reminder,1
pay_00008,4663,bank_timeout,upi,10,2,0,12.83,660,0.764,5682,14,escalate,0
pay_00009,29743,card_declined,wallet,7,4,0,2.43,301,0.476,33855,13,retry,1
pay_00009,29743,card_declined,wallet,7,4,0,2.43,301,0.476,33855,13,payment_link,0
pay_00009,29743,card_declined,wallet,7,4,0,2.43,301,0.476,33855,13,reminder,0
pay_00009,29743,card_declined,wallet,7,4,0,2.43,301,0.476,33855,13,escalate,1
pay_00010,1292,card_declined,upi,7,0,0,0.2,421,0.98,1729,23,retry,0
pay_00010,1292,card_declined,upi,7,0,0,0.2,421,0.98,1729,23,payment_link,0
pay_00010,1292,card_declined,upi,7,0,0,0.2,421,0.98,1729,23,reminder,1
pay_00010,1292,card_declined,upi,7,0,0,0.2,421,0.98,1729,23,escalate,1
pay_00011,38272,bank_timeout,card,6,1,2,10.9,147,0.902,38324,12,retry,0
pay_00011,38272,bank_timeout,card,6,1,2,10.9,147,0.902,38324,12,payment_link,1
pay_00011,38272,bank_timeout,card,6,1,2,10.9,147,0.902,38324,12,reminder,0
pay_00011,38272,bank_timeout,card,6,1,2,10.9,147,0.902,38324,12,escalate,0
pay_00012,12225,insufficient_funds,upi,8,2,2,4.06,793,0.853,15598,11,retry,0
pay_00012,12225,insufficient_funds,upi,8,2,2,4.06,793,0.853,15598,11,payment_link,0
pay_00012,12225,insufficient_funds,upi,8,2,2,4.06,793,0.853,15598,11,reminder,0
pay_00012,12225,insufficient_funds,upi,8,2,2,4.06,793,0.853,15598,11,escalate,0
pay_00013,8116,bank_timeout,card,7,6,1,0.61,385,0.595,6365,15,retry,0
pay_00013,8116,bank_timeout,card,7,6,1,0.61,385,0.595,6365,15,payment_link,0
pay_00013,8116,bank_timeout,card,7,6,1,0.61,385,0.595,6365,15,reminder,0
pay_00013,8116,bank_timeout,card,7,6,1,0.61,385,0.595,6365,15,escalate,0
pay_00014,605,technical_error,upi,9,1,0,1.8,558,0.885,2207,4,retry,0
pay_00014,605,technical_error,upi,9,1,0,1.8,558,0.885,2207,4,payment_link,0
pay_00014,605,technical_error,upi,9,1,0,1.8,558,0.885,2207,4,reminder,0
pay_00014,605,technical_error,upi,9,1,0,1.8,558,0.885,2207,4,escalate,1
pay_00015,10830,checkout_abandoned,wallet,6,2,0,3.34,414,0.791,9417,13,retry,0
pay_00015,10830,checkout_abandoned,wallet,6,2,0,3.34,414,0.791,9417,13,payment_link,0
pay_00015,10830,checkout_abandoned,wallet,6,2,0,3.34,414,0.791,9417,13,reminder,1
pay_00015,10830,checkout_abandoned,wallet,6,2,0,3.34,414,0.791,9417,13,escalate,0
pay_00016,6356,technical_error,card,5,1,2,21.78,270,0.98,3939,23,retry,1
pay_00016,6356,technical_error,card,5,1,2,21.78,270,0.98,3939,23,payment_link,0
pay_00016,6356,technical_error,card,5,1,2,21.78,270,0.98,3939,23,reminder,1
pay_00016,6356,technical_error,card,5,1,2,21.78,270,0.98,3939,23,escalate,0
pay_00017,2747,checkout_abandoned,card,8,1,0,1.93,789,0.941,2072,19,retry,1
pay_00017,2747,checkout_abandoned,card,8,1,0,1.93,789,0.941,2072,19,payment_link,0
pay_00017,2747,checkout_abandoned,card,8,1,0,1.93,789,0.941,2072,19,reminder,1
pay_00017,2747,checkout_abandoned,card,8,1,0,1.93,789,0.941,2072,19,escalate,1
pay_00018,2092,bank_timeout,wallet,12,2,0,0.29,580,0.886,2902,23,retry,1
pay_00018,2092,bank_timeout,wallet,12,2,0,0.29,580,0.886,2902,23,payment_link,1
pay_00018,2092,bank_timeout,wallet,12,2,0,0.29,580,0.886,2902,23,reminder,0
pay_00018,2092,bank_timeout,wallet,12,2,0,0.29,580,0.886,2902,23,escalate,1
pay_00019,2369,insufficient_funds,card,13,5,2,6.4,455,0.795,3841,9,retry,0
pay_00019,2369,insufficient_funds,card,13,5,2,6.4,455,0.795,3841,9,payment_link,1
pay_00019,2369,insufficient_funds,card,13,5,2,6.4,455,0.795,3841,9,reminder,1
pay_00019,2369,insufficient_funds,card,13,5,2,6.4,455,0.795,3841,9,escalate,0
pay_00020,737,bank_timeout,netbanking,12,1,0,2.26,469,0.98,2660,22,retry,0
pay_00020,737,bank_timeout,netbanking,12,1,0,2.26,469,0.98,2660,22,payment_link,0
pay_00020,737,bank_timeout,netbanking,12,1,0,2.26,469,0.98,2660,22,reminder,1
pay_00020,737,bank_timeout,netbanking,12,1,0,2.26,469,0.98,2660,22,escalate,1
pay_00021,2402,bank_timeout,netbanking,6,1,1,12.95,189,0.716,2649,13,retry,0
pay_00021,2402,bank_timeout,netbanking,6,1,1,12.95,189,0.716,2649,13,payment_link,0
pay_00021,2402,bank_timeout,netbanking,6,1,1,12.95,189,0.716,2649,13,reminder,0
pay_00021,2402,bank_timeout,netbanking,6,1,1,12.95,189,0.716,2649,13,escalate,1
pay_00022,1485,card_declined,upi,15,1,0,41.55,439,0.829,2308,9,retry,0
pay_00022,1485,card_declined,upi,15,1,0,41.55,439,0.829,2308,9,payment_link,0
pay_00022,1485,card_declined,upi,15,1,0,41.55,439,0.829,2308,9,reminder,0
pay_00022,1485,card_declined,upi,15,1,0,41.55,439,0.829,2308,9,escalate,0
pay_00023,10109,checkout_abandoned,netbanking,15,0,1,10.42,507,0.858,16689,6,retry,0
pay_00023,10109,checkout_abandoned,netbanking,15,0,1,10.42,507,0.858,16689,6,payment_link,1
pay_00023,10109,checkout_abandoned,netbanking,15,0,1,10.42,507,0.858,16689,6,reminder,1
pay_00023,10109,checkout_abandoned,netbanking,15,0,1,10.42,507,0.858,16689,6,escalate,0
pay_00024,5544,checkout_abandoned,upi,9,1,2,0.2,375,0.957,6119,16,retry,0
pay_00024,5544,checkout_abandoned,upi,9,1,2,0.2,375,0.957,6119,16,payment_link,1
pay_00024,5544,checkout_abandoned,upi,9,1,2,0.2,375,0.957,6119,16,reminder,0
pay_00024,5544,checkout_abandoned,upi,9,1,2,0.2,375,0.957,6119,16,escalate,0
pay_00025,30559,insufficient_funds,card,9,1,1,33.73,353,0.98,36496,21,retry,0
pay_00025,30559,insufficient_funds,card,9,1,1,33.73,353,0.98,36496,21,payment_link,1
pay_00025,30559,insufficient_funds,card,9,1,1,33.73,353,0.98,36496,21,reminder,1
pay_00025,30559,insufficient_funds,card,9,1,1,33.73,353,0.98,36496,21,escalate,1
pay_00026,1672,card_declined,upi,14,1,2,1.01,409,0.92,3380,20,retry,0
pay_00026,1672,card_declined,upi,14,1,2,1.01,409,0.92,3380,20,payment_link,0
pay_00026,1672,card_declined,upi,14,1,2,1.01,409,0.92,3380,20,reminder,0
pay_00026,1672,card_declined,upi,14,1,2,1.01,409,0.92,3380,20,escalate,0
pay_00027,2417,bank_timeout,card,7,0,0,0.55,172,0.98,2333,11,retry,1
pay_00027,2417,bank_timeout,card,7,0,0,0.55,172,0.98,2333,11,payment_link,1
pay_00027,2417,bank_timeout,card,7,0,0,0.55,172,0.98,2333,11,reminder,1
pay_00027,2417,bank_timeout,card,7,0,0,0.55,172,0.98,2333,11,escalate,0
pay_00028,1614,insufficient_funds,upi,2,1,0,7.0,100,0.526,300,12,retry,0
pay_00028,1614,insufficient_funds,upi,2,1,0,7.0,100,0.526,300,12,payment_link,1
pay_00028,1614,insufficient_funds,upi,2,1,0,7.0,100,0.526,300,12,reminder,0
pay_00028,1614,insufficient_funds,upi,2,1,0,7.0,100,0.526,300,12,escalate,0
pay_00029,12118,insufficient_funds,wallet,4,0,2,0.31,497,0.514,8254,6,retry,0
pay_00029,12118,insufficient_funds,wallet,4,0,2,0.31,497,0.514,8254,6,payment_link,0
pay_00029,12118,insufficient_funds,wallet,4,0,2,0.31,497,0.514,8254,6,reminder,0
pay_00029,12118,insufficient_funds,wallet,4,0,2,0.31,497,0.514,8254,6,escalate,0
pay_00030,3807,checkout_abandoned,card,13,1,0,0.2,82,0.881,4303,20,retry,0
pay_00030,3807,checkout_abandoned,card,13,1,0,0.2,82,0.881,4303,20,payment_link,1
pay_00030,3807,checkout_abandoned,card,13,1,0,0.2,82,0.881,4303,20,reminder,0
pay_00030,3807,checkout_abandoned,card,13,1,0,0.2,82,0.881,4303,20,escalate,0
pay_00031,3536,bank_timeout,card,4,2,2,15.38,281,0.636,2318,16,retry,0
pay_00031,3536,bank_timeout,card,4,2,2,15.38,281,0.636,2318,16,payment_link,0
pay_00031,3536,bank_timeout,card,4,2,2,15.38,281,0.636,2318,16,reminder,0
pay_00031,3536,bank_timeout,card,4,2,2,15.38,281,0.636,2318,16,escalate,0
pay_00032,3153,card_declined,upi,12,3,2,6.4,370,0.709,3932,16,retry,0
pay_00032,3153,card_declined,upi,12,3,2,6.4,370,0.709,3932,16,payment_link,0
pay_00032,3153,card_declined,upi,12,3,2,6.4,370,0.709,3932,16,reminder,1
pay_00032,3153,card_declined,upi,12,3,2,6.4,370,0.709,3932,16,escalate,0
pay_00033,719,technical_error,upi,12,4,0,21.72,517,0.823,644,4,retry,1
pay_00033,719,technical_error,upi,12,4,0,21.72,517,0.823,644,4,payment_link,1
pay_00033,719,technical_error,upi,12,4,0,21.72,517,0.823,644,4,reminder,0
pay_00033,719,technical_error,upi,12,4,0,21.72,517,0.823,644,4,escalate,0
pay_00034,3541,bank_timeout,card,8,2,0,3.37,483,0.573,2054,5,retry,1
pay_00034,3541,bank_timeout,card,8,2,0,3.37,483,0.573,2054,5,payment_link,0
pay_00034,3541,bank_timeout,card,8,2,0,3.37,483,0.573,2054,5,reminder,0
pay_00034,3541,bank_timeout,card,8,2,0,3.37,483,0.573,2054,5,escalate,0
pay_00035,7832,technical_error,wallet,6,1,0,2.22,572,0.709,8310,6,retry,1
pay_00035,7832,technical_error,wallet,6,1,0,2.22,572,0.709,8310,6,payment_link,1
pay_00035,7832,technical_error,wallet,6,1,0,2.22,572,0.709,8310,6,reminder,0
pay_00035,7832,technical_error,wallet,6,1,0,2.22,572,0.709,8310,6,escalate,0
pay_00036,13501,technical_error,upi,8,3,0,12.68,261,0.74,14729,7,retry,1
pay_00036,13501,technical_error,upi,8,3,0,12.68,261,0.74,14729,7,payment_link,0
pay_00036,13501,technical_error,upi,8,3,0,12.68,261,0.74,14729,7,reminder,0
pay_00036,13501,technical_error,upi,8,3,0,12.68,261,0.74,14729,7,escalate,0
pay_00037,3732,bank_timeout,wallet,6,0,2,6.04,426,0.98,3376,12,retry,1
pay_00037,3732,bank_timeout,wallet,6,0,2,6.04,426,0.98,3376,12,payment_link,0
pay_00037,3732,bank_timeout,wallet,6,0,2,6.04,426,0.98,3376,12,reminder,0
pay_00037,3732,bank_timeout,wallet,6,0,2,6.04,426,0.98,3376,12,escalate,0
pay_00038,808,bank_timeout,netbanking,10,0,3,11.02,195,0.98,740,18,retry,1
pay_00038,808,bank_timeout,netbanking,10,0,3,11.02,195,0.98,740,18,payment_link,0
pay_00038,808,bank_timeout,netbanking,10,0,3,11.02,195,0.98,740,18,reminder,0
pay_00038,808,bank_timeout,netbanking,10,0,3,11.02,195,0.98,740,18,escalate,0
pay_00039,8950,card_declined,card,11,3,1,8.58,394,0.796,12064,15,retry,0
pay_00039,8950,card_declined,card,11,3,1,8.58,394,0.796,12064,15,payment_link,0
pay_00039,8950,card_declined,card,11,3,1,8.58,394,0.796,12064,15,reminder,1
pay_00039,8950,card_declined,card,11,3,1,8.58,394,0.796,12064,15,escalate,0
pay_00040,5998,bank_timeout,upi,8,1,0,3.7,457,0.931,7207,23,retry,1
pay_00040,5998,bank_timeout,upi,8,1,0,3.7,457,0.931,7207,23,payment_link,0
pay_00040,5998,bank_timeout,upi,8,1,0,3.7,457,0.931,7207,23,reminder,0
pay_00040,5998,bank_timeout,upi,8,1,0,3.7,457,0.931,7207,23,escalate,1
pay_00041,3486,insufficient_funds,wallet,10,2,0,22.35,438,0.877,3173,13,retry,0
pay_00041,3486,insufficient_funds,wallet,10,2,0,22.35,438,0.877,3173,13,payment_link,0
pay_00041,3486,insufficient_funds,wallet,10,2,0,22.35,438,0.877,3173,13,reminder,1
pay_00041,3486,insufficient_funds,wallet,10,2,0,22.35,438,0.877,3173,13,escalate,0
pay_00042,12231,card_declined,upi,7,3,1,4.66,277,0.59,13273,0,retry,0
pay_00042,12231,card_declined,upi,7,3,1,4.66,277,0.59,13273,0,payment_link,0
pay_00042,12231,card_declined,upi,7,3,1,4.66,277,0.59,13273,0,reminder,0
pay_00042,12231,card_declined,upi,7,3,1,4.66,277,0.59,13273,0,escalate,1
pay_00043,3077,checkout_abandoned,upi,13,3,0,1.55,433,0.865,3157,10,retry,0
pay_00043,3077,checkout_abandoned,upi,13,3,0,1.55,433,0.865,3157,10,payment_link,1
pay_00043,3077,checkout_abandoned,upi,13,3,0,1.55,433,0.865,3157,10,reminder,1
pay_00043,3077,checkout_abandoned,upi,13,3,0,1.55,433,0.865,3157,10,escalate,0
pay_00044,2778,card_declined,netbanking,5,0,0,3.34,275,0.935,4364,8,retry,1
pay_00044,2778,card_declined,netbanking,5,0,0,3.34,275,0.935,4364,8,payment_link,0
pay_00044,2778,card_declined,netbanking,5,0,0,3.34,275,0.935,4364,8,reminder,0
pay_00044,2778,card_declined,netbanking,5,0,0,3.34,275,0.935,4364,8,escalate,0
pay_00045,1953,bank_timeout,upi,10,0,0,3.62,567,0.98,2746,4,retry,1
pay_00045,1953,bank_timeout,upi,10,0,0,3.62,567,0.98,2746,4,payment_link,1
pay_00045,1953,bank_timeout,upi,10,0,0,3.62,567,0.98,2746,4,reminder,1
pay_00045,1953,bank_timeout,upi,10,0,0,3.62,567,0.98,2746,4,escalate,0
pay_00046,12240,technical_error,upi,9,2,0,5.56,97,0.834,15054,3,retry,1
pay_00046,12240,technical_error,upi,9,2,0,5.56,97,0.834,15054,3,payment_link,0
pay_00046,12240,technical_error,upi,9,2,0,5.56,97,0.834,15054,3,reminder,0
pay_00046,12240,technical_error,upi,9,2,0,5.56,97,0.834,15054,3,escalate,1
pay_00047,3468,bank_timeout,netbanking,9,1,0,1.77,233,0.888,3511,12,retry,1
pay_00047,3468,bank_timeout,netbanking,9,1,0,1.77,233,0.888,3511,12,payment_link,1
pay_00047,3468,bank_timeout,netbanking,9,1,0,1.77,233,0.888,3511,12,reminder,1
