payment_id,amount_inr,failure_reason,payment_method,successful_payments,failed_payments,previous_attempts,hours_since_failure,customer_tenure_days,prior_recovery_rate,customer_value_inr,failure_hour,action,recovered,total_payment_attempts,payment_success_rate,failure_rate,retry_exhaustion,transaction_to_customer_value,time_decay,customer_activity_score,predicted_probability,expected_net_recovery,allowed,guardrail_reason,guardrail_code,actual_recovered,actual_recovered_value,actual_action_cost,actual_net_recovery
pay_00000,4534,insufficient_funds,netbanking,12,1,1,4.13,285,0.98,6193,16,payment_link,1,13,0.9230769230769231,0.07692307692307693,0.3333333333333333,0.7321169061844017,0.19493177387914232,0.04195804195804196,0.6085704905472784,2747.92360414136,True,Allowed.,NONE,1,4534,11.335,4522.665
pay_00007,2377,insufficient_funds,wallet,13,0,2,5.72,250,0.898,2591,6,payment_link,1,13,1.0,0.0,0.6666666666666666,0.9174064067927441,0.1488095238095238,0.05179282868525897,0.5367629051249775,1269.9429254820714,True,Allowed.,NONE,0,0,5.9425,-5.9425
pay_00014,605,technical_error,upi,9,1,0,1.8,558,0.885,2207,4,retry,1,10,0.9,0.1,0.0,0.27412777526053467,0.35714285714285715,0.016100178890876567,0.6868222672052308,412.50247165916466,True,Allowed.,NONE,0,0,3.025,-3.025
pay_00017,2747,checkout_abandoned,card,8,1,0,1.93,789,0.941,2072,19,reminder,1,9,0.8888888888888888,0.1111111111111111,0.0,1.3257722007722008,0.3412969283276451,0.010126582278481013,0.7101994115402167,1948.1707835009752,True,Allowed.,NONE,1,2747,2.747,2744.253
pay_00025,30559,insufficient_funds,card,9,1,1,33.73,353,0.98,36496,21,payment_link,1,10,0.9,0.1,0.3333333333333333,0.8373246383165278,0.02879355024474518,0.025423728813559324,0.5464076903426197,16621.27510918012,True,Allowed.,NONE,1,30559,76.39750000000001,30482.6025
pay_00026,1672,card_declined,upi,14,1,2,1.01,409,0.92,3380,20,payment_link,0,15,0.9333333333333333,0.06666666666666667,0.6666666666666666,0.49467455621301776,0.49751243781094534,0.03414634146341464,0.5202106822654665,865.6122607478601,True,Allowed.,NONE,0,0,4.18,-4.18
pay_00030,3807,checkout_abandoned,card,13,1,0,0.2,82,0.881,4303,20,reminder,0,14,0.9285714285714286,0.07142857142857142,0.0,0.884731582616779,0.8333333333333334,0.1566265060240964,0.7230399722362016,2748.80617430322,True,Allowed.,NONE,0,0,3.807,-3.807
pay_00031,3536,bank_timeout,card,4,2,2,15.38,281,0.636,2318,16,retry,0,6,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.5254529767040552,0.06105006105006104,0.014184397163120567,0.317394345887753,1104.6264070590946,True,Allowed.,NONE,0,0,17.68,-17.68
pay_00032,3153,card_declined,upi,12,3,2,6.4,370,0.709,3932,16,payment_link,0,15,0.8,0.2,0.6666666666666666,0.801881993896236,0.13513513513513511,0.03234501347708895,0.4108629743021279,1287.5684579746094,True,Allowed.,NONE,0,0,7.8825,-7.8825
pay_00033,719,technical_error,upi,12,4,0,21.72,517,0.823,644,4,retry,0,16,0.75,0.25,0.0,1.1164596273291925,0.04401408450704226,0.023166023166023165,0.5259550212217999,374.56666025847414,True,Allowed.,NONE,1,719,3.595,715.405
pay_00044,2778,card_declined,netbanking,5,0,0,3.34,275,0.935,4364,8,payment_link,0,5,1.0,0.0,0.0,0.6365719523373052,0.2304147465437788,0.018115942028985508,0.7179741499327683,1987.5871885132303,True,Allowed.,NONE,0,0,6.945,-6.945
pay_00045,1953,bank_timeout,upi,10,0,0,3.62,567,0.98,2746,4,retry,0,10,1.0,0.0,0.0,0.7112163146394757,0.21645021645021645,0.017605633802816902,0.8104816128784298,1573.1055899515734,True,Allowed.,NONE,1,1953,9.765,1943.235
pay_00051,19216,card_declined,upi,11,4,0,25.68,256,0.798,24946,11,retry,1,15,0.7333333333333333,0.26666666666666666,0.0,0.7703038563296721,0.037481259370314844,0.042801556420233464,0.48410604100370497,9206.501683927194,True,Allowed.,NONE,1,19216,96.08,19119.92
pay_00052,4818,insufficient_funds,card,7,0,0,5.58,152,0.98,5551,9,payment_link,0,7,1.0,0.0,0.0,0.8679517204107368,0.1519756838905775,0.0457516339869281,0.755514004611093,3628.0214742162457,True,Allowed.,NONE,1,4818,12.045,4805.955
pay_00058,2976,insufficient_funds,upi,10,0,0,4.41,315,0.871,3415,10,payment_link,1,10,1.0,0.0,0.0,0.8714494875549048,0.18484288354898337,0.03164556962025317,0.7693356012286319,2282.1027492564085,True,Allowed.,NONE,1,2976,7.44,2968.56
