payment_id,actual_net_recovery_ai,actual_net_recovery_probability,ai_minus_probability
pay_00000,4522.665,4522.665,0.0
pay_00007,-5.9425,-5.9425,0.0
pay_00014,-3.025,-3.025,0.0
pay_00017,2744.253,2744.253,0.0
pay_00025,30482.6025,30482.6025,0.0
pay_00026,-4.18,-4.18,0.0
pay_00030,-3.807,-3.807,0.0
pay_00031,-17.68,-17.68,0.0
pay_00032,-7.8825,-7.8825,0.0
pay_00033,715.405,715.405,0.0
pay_00044,-6.945,-6.945,0.0
pay_00045,1943.235,1943.235,0.0
pay_00051,19119.92,19119.92,0.0
pay_00052,4805.955,4805.955,0.0
pay_00058,2968.56,2968.56,0.0
pay_00061,5563.045,5563.045,0.0
pay_00063,1872.59,1872.59,0.0
pay_00067,26210.29,26210.29,0.0
pay_00070,12070.345,12070.345,0.0
pay_00076,-2.96,-2.96,0.0
pay_00080,-11.2375,-11.2375,0.0
pay_00088,-9.951,-9.951,0.0
pay_00093,-48.910000000000004,-48.910000000000004,0.0
pay_00096,837.79,837.79,0.0
pay_00102,5943.051,5943.051,0.0
pay_00109,3523.17,3523.17,0.0
pay_00120,2326.31,2326.31,0.0
pay_00124,33826.2225,33826.2225,0.0
pay_00134,-3.431,-3.431,0.0
pay_00139,904.455,904.455,0.0
pay_00141,6024.725,6024.725,0.0
pay_00144,-7.58,-7.58,0.0
pay_00149,-29.64,-29.64,0.0
pay_00152,4569.04,4569.04,0.0
pay_00157,1449.3675,1449.3675,0.0
pay_00166,13870.2375,13870.2375,0.0
pay_00170,-5.5175,-5.5175,0.0
pay_00173,4307.355,4307.355,0.0
pay_00174,9328.62,9328.62,0.0
pay_00175,11479.23,11479.23,0.0
pay_00176,7399.815,7399.815,0.0
pay_00177,-6.618,-6.618,0.0
pay_00178,16003.58,16003.58,0.0
pay_00179,-11.8775,-11.8775,0.0
pay_00183,-5.9775,-5.9775,0.0
pay_00184,-3.208,-3.208,0.0
pay_00188,978.021,978.021,0.0
pay_00192,-5.722,-5.722,0.0
pay_00194,4082.485,4082.485,0.0
pay_00195,-22.8625,-22.8625,0.0
pay_00196,-5.641,-5.641,0.0
pay_00203,-2.998,-2.998,0.0
pay_00211,671.625,671.625,0.0
pay_00214,1382.055,1382.055,0.0
pay_00217,4042.953,4042.953,0.0
pay_00218,-14.695,-14.695,0.0
pay_00229,-3.255,-3.255,0.0
pay_00238,-29.67,-29.67,0.0
pay_00239,-50.2075,-50.2075,0.0
pay_00240,15313.05,15313.05,0.0
pay_00246,-3.3000000000000003,-3.3000000000000003,0.0
pay_00247,-3.305,-3.305,0.0
pay_00251,-21.98,8704.08,-8726.06
pay_00254,4303.375,4303.375,0.0
pay_00256,-16.59,-16.59,0.0
pay_00257,-8.790000000000001,-8.790000000000001,0.0
pay_00258,-30.98,-30.98,0.0
pay_00263,-38.237500000000004,-38.237500000000004,0.0
pay_00266,20301.12,20301.12,0.0
pay_00270,-30.435000000000002,-30.435000000000002,0.0
pay_00274,4176.819,4176.819,0.0
pay_00278,7116.165,7116.165,0.0
pay_00279,-7.9350000000000005,-7.9350000000000005,0.0
pay_00283,-15.2125,-15.2125,0.0
pay_00288,10422.8775,10422.8775,0.0
pay_00289,-2.94,-29.400000000000002,26.46
pay_00291,3837.3825,3837.3825,0.0
pay_00295,-5.3125,-5.3125,0.0
pay_00296,-8.645,-8.645,0.0
pay_00298,4625.37,4625.37,0.0
pay_00299,3292.455,3292.455,0.0
pay_00309,5775.975,5775.975,0.0
pay_00314,4747.145,4747.145,0.0
pay_00315,1384.045,1384.045,0.0
pay_00321,-3.74,-3.74,0.0
pay_00322,5670.505,5670.505,0.0
pay_00324,2268.315,-11.370000000000001,2279.685
pay_00325,-8.0625,-8.0625,0.0
pay_00331,-12.315,-12.315,0.0
pay_00332,-0.647,-0.647,0.0
pay_00343,-23.575,-23.575,0.0
pay_00346,12071.34,12071.34,0.0
pay_00354,-9.345,-9.345,0.0
pay_00358,1637.895,1637.895,0.0
pay_00368,10119.87,10119.87,0.0
pay_00370,-8.6725,-8.6725,0.0
pay_00371,-11.395,-11.395,0.0
pay_00387,-47.5175,-47.5175,0.0
pay_00393,25940.034,25940.034,0.0
pay_00402,-1.7630000000000001,-1.7630000000000001,0.0
pay_00408,31836.02,31836.02,0.0
pay_00410,-0.921,-0.921,0.0
pay_00411,-8.21,-8.21,0.0
pay_00414,-65.18,-65.18,0.0
pay_00415,2050.86,2050.86,0.0
pay_00416,-31.86,-31.86,0.0
pay_00422,4538.457,4538.457,0.0
pay_00423,1143.135,1143.135,0.0
pay_00430,3906.09,3906.09,0.0
pay_00432,7030.962,7030.962,0.0
pay_00433,-4.5775,-4.5775,0.0
pay_00438,-13.555,-13.555,0.0
pay_00439,816.895,816.895,0.0
pay_00442,-4.596,-4.596,0.0
pay_00443,1139.275,1139.275,0.0
pay_00449,3830.4,3830.4,0.0
pay_00450,10334.1,10334.1,0.0
pay_00457,-9.887500000000001,-9.887500000000001,0.0
pay_00461,-4.675,-4.675,0.0
pay_00463,25216.8,25216.8,0.0
pay_00471,1807.191,1807.191,0.0
pay_00478,-4.055,-4.055,0.0
pay_00479,-4.76,-4.76,0.0
pay_00485,5584.41,5584.41,0.0
pay_00486,-3.52,-3.52,0.0
pay_00495,1680.7875,1680.7875,0.0
pay_00501,17604.8775,17604.8775,0.0
pay_00505,6289.2375,6289.2375,0.0
pay_00506,-10.17,-10.17,0.0
pay_00507,-6.08,-6.08,0.0
pay_00511,-3.586,-3.586,0.0
pay_00527,7196.835,7196.835,0.0
pay_00528,4653.3375,4653.3375,0.0
pay_00532,3415.835,3415.835,0.0
pay_00538,10955.034,10955.034,0.0
pay_00544,772.12,772.12,0.0
pay_00551,-4.2700000000000005,-4.2700000000000005,0.0
pay_00554,2639.385,2639.385,0.0
pay_00555,-2.5925000000000002,-2.5925000000000002,0.0
pay_00557,-18.345,-18.345,0.0
pay_00564,1886.112,1886.112,0.0
pay_00567,-1.679,-1.679,0.0
pay_00573,12994.7,12994.7,0.0
pay_00576,2016.865,2016.865,0.0
pay_00578,3181.0275,3181.0275,0.0
pay_00594,1297.48,1297.48,0.0
pay_00596,9870.2625,9870.2625,0.0
pay_00598,-46.64,-46.64,0.0
pay_00599,-5.932,-5.932,0.0
pay_00602,2191.985,2191.985,0.0
pay_00605,-21.315,-21.315,0.0
pay_00610,1610.388,1610.388,0.0
pay_00612,-15.2775,-15.2775,0.0
pay_00621,-3.5500000000000003,-14.200000000000001,10.65
pay_00631,3271.56,3271.56,0.0
pay_00642,-4.4075,-4.4075,0.0
pay_00644,3763.09,3763.09,0.0
pay_00654,-0.9540000000000001,-0.9540000000000001,0.0
pay_00657,1440.558,1440.558,0.0
pay_00665,1006.992,1006.992,0.0
pay_00670,4898.385,4898.385,0.0
pay_00676,1793.505,1793.505,0.0
pay_00678,2994.95,2994.95,0.0
pay_00679,-5.9625,-5.9625,0.0
pay_00680,-3.9725,-3.9725,0.0
pay_00691,-21.495,-21.495,0.0
pay_00693,1417.4475,1417.4475,0.0
pay_00705,-6.525,-6.525,0.0
pay_00712,-10.63,-10.63,0.0
pay_00718,-3.88,-7.76,3.88
pay_00721,-69.685,-69.685,0.0
pay_00729,1234.905,1234.905,0.0
pay_00736,1511.2125,1511.2125,0.0
pay_00742,-6.785,-6.785,0.0
pay_00744,-12.1675,-12.1675,0.0
pay_00746,1666.332,1666.332,0.0
pay_00752,8167.53,8167.53,0.0
pay_00755,19022.958,19022.958,0.0
pay_00759,-10.48,-10.48,0.0
pay_00761,1320.678,1320.678,0.0
pay_00776,2943.21,2943.21,0.0
pay_00781,-13.838000000000001,-13.838000000000001,0.0
pay_00785,6061.932,6061.932,0.0
pay_00787,2552.175,2552.175,0.0
pay_00790,2670.58,2670.58,0.0
pay_00794,-22.745,-22.745,0.0
pay_00798,-10.9975,-10.9975,0.0
pay_00802,-4.5825000000000005,-4.5825000000000005,0.0
pay_00805,-7.678,-7.678,0.0
pay_00807,5916.1725,5916.1725,0.0
pay_00809,-14.4,-14.4,0.0
pay_00812,-12.705,-12.705,0.0
pay_00816,8749.242,8749.242,0.0
pay_00817,-1.7775,-1.7775,0.0
pay_00818,-5.618,-5.618,0.0
pay_00829,3093.903,3093.903,0.0
pay_00838,1958.0925,1958.0925,0.0
pay_00839,1969.029,1969.029,0.0
pay_00840,-2.191,-2.191,0.0
pay_00842,4326.26,4326.26,0.0
pay_00857,-10.6,-10.6,0.0
pay_00862,-6.325,-6.325,0.0
pay_00867,1855.143,1855.143,0.0
pay_00869,-14.3275,-14.3275,0.0
pay_00871,3317.33,3317.33,0.0
pay_00874,6784.995,6784.995,0.0
pay_00879,2742.1275,2742.1275,0.0
pay_00881,3549.165,3549.165,0.0
pay_00889,1639.76,1639.76,0.0
pay_00893,-6.8175,-6.8175,0.0
pay_00897,2742.1275,2742.1275,0.0
pay_00905,22904.595,22904.595,0.0
pay_00907,2568.429,2568.429,0.0
pay_00912,-26.865000000000002,-26.865000000000002,0.0
pay_00921,3395.49,3395.49,0.0
pay_00925,5549.0925,5549.0925,0.0
pay_00926,-24.015,-24.015,0.0
pay_00927,2173.5525,2173.5525,0.0
pay_00929,1561.437,1561.437,0.0
pay_00932,14579.46,14579.46,0.0
pay_00937,969.13,969.13,0.0
pay_00942,-24.135,-24.135,0.0
pay_00949,3660.825,3660.825,0.0
pay_00952,-14.045,-14.045,0.0
pay_00964,7026.39,7026.39,0.0
pay_00965,4528.245,4528.245,0.0
pay_00969,-17.215,-17.215,0.0
pay_00978,3971.025,3971.025,0.0
pay_00985,-2.837,-2.837,0.0
pay_00997,-13.965,-13.965,0.0
pay_00999,-18.215,-18.215,0.0
pay_01011,-5.525,-5.525,0.0
pay_01017,1828.17,1828.17,0.0
pay_01018,2047.8675,2047.8675,0.0
pay_01022,-2.665,-2.665,0.0
pay_01023,4302.693,4302.693,0.0
pay_01025,-18.975,-18.975,0.0
pay_01027,-34.27,-34.27,0.0
pay_01041,2369.0625,2369.0625,0.0
pay_01042,11100.888,11100.888,0.0
pay_01044,9775.215,9775.215,0.0
pay_01047,5031.715,5031.715,0.0
pay_01052,10023.63,10023.63,0.0
pay_01053,-3.396,-3.396,0.0
pay_01055,20698.125,20698.125,0.0
pay_01057,2812.185,2812.185,0.0
pay_01061,1537.1475,1537.1475,0.0
pay_01064,-4.5625,-4.5625,0.0
pay_01067,-3.6575,-3.6575,0.0
pay_01070,-4.2700000000000005,-4.2700000000000005,0.0
pay_01071,5776.5225,5776.5225,0.0
pay_01074,5431.3875,5431.3875,0.0
pay_01080,-20.37,-20.37,0.0
pay_01084,2172.825,2172.825,0.0
pay_01089,7168.035,7168.035,0.0
pay_01091,1355.19,1355.19,0.0
pay_01094,-2.71,-2.71,0.0
pay_01110,1221.9375,1221.9375,0.0
pay_01113,908.435,908.435,0.0
pay_01114,4177.818,4177.818,0.0
pay_01117,-26.3975,-26.3975,0.0
pay_01123,4484.465,4484.465,0.0
pay_01149,9372.618,9372.618,0.0
pay_01151,2558.5875,2558.5875,0.0
pay_01163,5373.621,5373.621,0.0
pay_01171,1019.445,1019.445,0.0
pay_01174,-4.47,-4.47,0.0
pay_01178,21531.8,21531.8,0.0
pay_01187,-36.315,-36.315,0.0
pay_01188,9989.9625,9989.9625,0.0
pay_01192,7143.105,7143.105,0.0
pay_01200,9611.379,9611.379,0.0
pay_01204,11366.88,11366.88,0.0
pay_01206,-1.8575,-1.8575,0.0
pay_01210,1926.32,1926.32,0.0
pay_01211,-3.395,-3.395,0.0
pay_01220,1581.417,1581.417,0.0
pay_01221,-15.1675,-15.1675,0.0
pay_01222,3886.47,3886.47,0.0
pay_01226,7765.5375,7765.5375,0.0
pay_01234,1008.4725,1008.4725,0.0
pay_01236,8681.375,8681.375,0.0
pay_01242,-33.8925,-33.8925,0.0
pay_01251,6597.396,6597.396,0.0
pay_01261,3621.8,3621.8,0.0
pay_01270,968.5725,968.5725,0.0
pay_01271,-13.8925,-13.8925,0.0
pay_01272,9419.571,9419.571,0.0
pay_01289,9526.13,9526.13,0.0
pay_01295,638.4,638.4,0.0
pay_01320,-10.425,-10.425,0.0
pay_01322,1807.47,1807.47,0.0
pay_01330,3298.425,3298.425,0.0
pay_01334,1361.5875,1361.5875,0.0
pay_01336,2613.865,2600.73,13.134999999999764
pay_01345,8796.195,8796.195,0.0
pay_01356,-17.215,-17.215,0.0
pay_01360,1642.8825,1642.8825,0.0
pay_01361,2184.813,2184.813,0.0
pay_01362,3252.655,3252.655,0.0
pay_01373,-1.796,-1.796,0.0
pay_01385,3196.8,3196.8,0.0
pay_01391,-5.8950000000000005,-5.8950000000000005,0.0
pay_01395,2824.92,2824.92,0.0
pay_01397,-7.2875000000000005,-7.2875000000000005,0.0
pay_01406,4615.4325,4615.4325,0.0
pay_01407,-22.6575,-22.6575,0.0
pay_01411,3805.191,3805.191,0.0
pay_01412,769.0725,769.0725,0.0
pay_01414,9874.38,9874.38,0.0
pay_01419,-20.785,-20.785,0.0
pay_01420,1779.06,1779.06,0.0
pay_01424,-34.955,-34.955,0.0
pay_01425,777.095,777.095,0.0
pay_01431,-11.945,-11.945,0.0
pay_01432,8459.532,8459.532,0.0
pay_01444,2052.855,2052.855,0.0
pay_01446,4069.55,4069.55,0.0
pay_01459,2459.64,2459.64,0.0
pay_01461,-9.96,-9.96,0.0
pay_01462,1728.27,1728.27,0.0
pay_01465,562.437,562.437,0.0
pay_01474,17794.188,17794.188,0.0
pay_01487,473.62,473.62,0.0
pay_01497,6031.69,6031.69,0.0
pay_01499,-23.3875,-23.3875,0.0
pay_01501,4547.6025,4547.6025,0.0
pay_01506,-2.204,-2.204,0.0
pay_01511,1859.34,1859.34,0.0
pay_01536,-14.595,-14.595,0.0
pay_01537,-12.096,-12.096,0.0
pay_01539,5023.971,5023.971,0.0
pay_01546,-2.011,-2.011,0.0
pay_01551,4349.145,4349.145,0.0
pay_01552,-14.115,-14.115,0.0
pay_01554,4419.576,4419.576,0.0
pay_01556,1559.165,1559.165,0.0
pay_01557,3339.63,3339.63,0.0
pay_01569,2702.42,2702.42,0.0
pay_01572,7954.065,7954.065,0.0
pay_01583,-6.640000000000001,-6.640000000000001,0.0
pay_01584,2295.702,2295.702,0.0
pay_01587,4618.377,4618.377,0.0
pay_01593,-22.065,-22.065,0.0
pay_01598,8126.6325,8126.6325,0.0
pay_01600,3476.53,3476.53,0.0
pay_01602,-3.315,-3.315,0.0
pay_01612,-39.28,-39.28,0.0
pay_01614,1705.725,1705.725,0.0
pay_01616,1653.69,1653.69,0.0
